mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.01855940818786621,0.0009562197320981423,0.002875232696533203,0.00030078170558572534,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.5555555555555556,0.5686274509803921,0.618421052631579,0.5986842105263158,0.6118421052631579,0.5921052631578947,0.5263157894736842,0.5921052631578947,0.5328947368421053,0.5921052631578947,0.5788656690746474,0.030155775251505368,11
0.01852073669433594,0.0009637967845172989,0.006061458587646484,0.0004902612923553163,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7973856209150327,0.8366013071895425,0.8486842105263158,0.8355263157894737,0.8223684210526315,0.7697368421052632,0.7960526315789473,0.8289473684210527,0.8092105263157895,0.8486842105263158,0.8193197454420365,0.024435546824996733,4
0.01808631420135498,0.0008343354890960479,0.0024133920669555664,0.0005036662005334053,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.5555555555555556,0.5686274509803921,0.618421052631579,0.5986842105263158,0.6118421052631579,0.5921052631578947,0.5263157894736842,0.5921052631578947,0.5328947368421053,0.5921052631578947,0.5788656690746474,0.030155775251505368,11
0.025587964057922363,0.0007920135727943218,0.00888679027557373,0.0012221757262104393,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.5555555555555556,0.5686274509803921,0.618421052631579,0.5986842105263158,0.6118421052631579,0.5921052631578947,0.5263157894736842,0.5921052631578947,0.5328947368421053,0.5921052631578947,0.5788656690746474,0.030155775251505368,11
0.018260502815246583,0.0006768800410449428,0.0023956298828125,0.000490956931188316,0.2,scale,linear,"{'C': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",0.5620915032679739,0.5751633986928104,0.625,0.6118421052631579,0.618421052631579,0.5986842105263158,0.5328947368421053,0.5921052631578947,0.5328947368421053,0.6052631578947368,0.5854360165118679,0.031836106962721246,9
0.018354511260986327,0.0008483424220733163,0.005856204032897949,0.0005457335764815476,0.2,scale,rbf,"{'C': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.8169934640522876,0.8366013071895425,0.8421052631578947,0.8355263157894737,0.8157894736842105,0.7631578947368421,0.8026315789473685,0.8355263157894737,0.8092105263157895,0.8552631578947368,0.8212805297557619,0.024797861353507884,3
0.018703055381774903,0.001485631879026073,0.002807140350341797,0.00040685526613950244,0.2,auto,linear,"{'C': 0.2, 'gamma': 'auto', 'kernel': 'linear'}",0.5620915032679739,0.5751633986928104,0.625,0.6118421052631579,0.618421052631579,0.5986842105263158,0.5328947368421053,0.5921052631578947,0.5328947368421053,0.6052631578947368,0.5854360165118679,0.031836106962721246,9
0.026413726806640624,0.0007718917378178048,0.009003114700317384,0.00042420403230171465,0.2,auto,rbf,"{'C': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.5555555555555556,0.5686274509803921,0.618421052631579,0.5986842105263158,0.6118421052631579,0.5921052631578947,0.5263157894736842,0.5921052631578947,0.5328947368421053,0.5921052631578947,0.5788656690746474,0.030155775251505368,11
0.018696045875549315,0.0008986806317442703,0.0025040864944458007,0.0004967578479386807,0.5,scale,linear,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'linear'}",0.7712418300653595,0.7973856209150327,0.8157894736842105,0.8026315789473685,0.7894736842105263,0.7368421052631579,0.756578947368421,0.7894736842105263,0.75,0.8026315789473685,0.781204850361197,0.02482007824061062,7
0.018411779403686525,0.0008101123378328279,0.005609035491943359,0.0006689587478148851,0.5,scale,rbf,"{'C': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.8300653594771242,0.8366013071895425,0.8421052631578947,0.8355263157894737,0.8092105263157895,0.7631578947368421,0.8026315789473685,0.8486842105263158,0.8092105263157895,0.8552631578947368,0.8232456140350877,0.026140142696689784,2
0.01799120903015137,0.0006205545311522308,0.0025025129318237303,0.0005048707949280493,0.5,auto,linear,"{'C': 0.5, 'gamma': 'auto', 'kernel': 'linear'}",0.7712418300653595,0.7973856209150327,0.8157894736842105,0.8026315789473685,0.7894736842105263,0.7368421052631579,0.756578947368421,0.7894736842105263,0.75,0.8026315789473685,0.781204850361197,0.02482007824061062,7
0.025942015647888183,0.0007131381481250916,0.008448529243469238,0.0004616488431743129,0.5,auto,rbf,"{'C': 0.5, 'gamma': 'auto', 'kernel': 'rbf'}",0.5555555555555556,0.5686274509803921,0.618421052631579,0.5986842105263158,0.6118421052631579,0.5921052631578947,0.5263157894736842,0.5921052631578947,0.5328947368421053,0.5921052631578947,0.5788656690746474,0.030155775251505368,11
0.01600358486175537,0.000466896747046048,0.0020996809005737306,0.00030029005168966523,1,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.7973856209150327,0.8235294117647058,0.8421052631578947,0.8223684210526315,0.8092105263157895,0.75,0.7894736842105263,0.8157894736842105,0.8026315789473685,0.8355263157894737,0.8088020295837633,0.025045756753808632,5
0.01876246929168701,0.0016385549697664663,0.005146670341491699,0.0002903295989716499,1,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8235294117647058,0.8366013071895425,0.8355263157894737,0.8355263157894737,0.8092105263157895,0.7631578947368421,0.8092105263157895,0.8421052631578947,0.8092105263157895,0.868421052631579,0.8232499140006879,0.026604657217865615,1
